system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
CuPd,Cu1Pd5,struct_2938_4_relaxed.vasp,-0.05548682812499628,0.0003119368750000573,CuPd/Cu1Pd5/xyz2poscar/struct_2938_4_relaxed.vasp,17b7c48905d13951e2cb8a58feeab2ac82c1eb863cb85421c11cdb18d44bd6c3
CuPd,Cu1Pd5,struct_3070_6_relaxed.vasp,-0.05539177624999603,0.0004069887500003089,CuPd/Cu1Pd5/xyz2poscar/struct_3070_6_relaxed.vasp,9560497bb6969cf1eb1f7cdd9a4de28df4904bc3c3210687a1644af9cd02e311
CuPd,Cu1Pd5,struct_3080_0_relaxed.vasp,-0.05528615562499617,0.000512609375000167,CuPd/Cu1Pd5/xyz2poscar/struct_3080_0_relaxed.vasp,49e9164f3404100aebd961af3266055c8b617e147410037f8919bc1908f4bc92
CuPd,Cu1Pd5,struct_3080_2_relaxed.vasp,-0.05486675833332969,0.0009320066666666446,CuPd/Cu1Pd5/xyz2poscar/struct_3080_2_relaxed.vasp,0814d640db04d0f2c7406ab087676bf48c820b8001f37cc5bdc9ad7a71d4ef7f
CuPd,Cu3Pd1,struct_4119_0_relaxed.vasp,-0.1546603387499991,0.0,CuPd/Cu3Pd1/xyz2poscar/struct_4119_0_relaxed.vasp,28b4eca7d21751e6058f1c7beab430d75592cd5ab5affbb2a96e83059e31b4fd
CuPd,Cu4Pd1,struct_2371_2_relaxed.vasp,-0.1383329557499998,0.0,CuPd/Cu4Pd1/xyz2poscar/struct_2371_2_relaxed.vasp,caafa5e73e16c133b3ba4a7ff309e42f14d0ae685cecd139a2431fae434d3532
CuPd,Cu5Pd1,struct_1038_3_relaxed.vasp,-0.12470260291666631,0.0009120839583320189,CuPd/Cu5Pd1/xyz2poscar/struct_1038_3_relaxed.vasp,733a71993e680b8c20538b0e832ce4d43b2ddeb5098e625111e103b79d95a9cf
CuPd,Cu5Pd1,struct_2487_6_relaxed.vasp,-0.12561468687499833,0.0,CuPd/Cu5Pd1/xyz2poscar/struct_2487_6_relaxed.vasp,4ff13aaaf4f5f099599158c8cede5d84fb8ac5004e4399db205189c0609e0ce9
CuSc,Cu1Sc1,struct_4002_2_relaxed.vasp,-0.3137357931249998,0.0,CuSc/Cu1Sc1/xyz2poscar/struct_4002_2_relaxed.vasp,ba53cd7ea2bc2acca5ef142f0440687b5bec64fd55d02947fb86fff1ce5bb0be
CuSc,Cu2Sc1,struct_4327_2_relaxed.vasp,-0.280716846666667,0.0,CuSc/Cu2Sc1/xyz2poscar/struct_4327_2_relaxed.vasp,fd4c608f3041bcac3360b863d21f7c34fdd2de6064d3c112f4ee45c4e939ede3
