system,phase,filename,reduced_formula,number_of_atoms,space_group_symbol,space_group_number,target_element,target_element_fraction,dft_formation_energy_eV_per_atom,dft_distance_to_combined_hull_eV_per_atom,mlip_formation_energy_eV_per_atom,mlip_distance_to_search_hull_eV_per_atom,materials_project_match,materials_project_references_checked,source_relative_path,sha256
RhTi,Rh3Ti2,struct_10030_1_relaxed.vasp,Ti2Rh3,40,P2_1/c,14,Ti,0.4,-0.7660804752499999,0.0,-0.7525703584387287,0.0,False,0,RhTi/Rh3Ti2/xyz2poscar/struct_10030_1_relaxed.vasp,89f4b3cb99a84026e6e6b4bc52120bf3c0d817402880b31dfecbb52243ac8812
RhTi,Rh4Ti1,struct_10333_9_relaxed.vasp,TiRh4,40,C2/m,12,Ti,0.2,-0.4955930655000017,0.0,-0.49782166179827103,0.004245281626533148,False,0,RhTi/Rh4Ti1/xyz2poscar/struct_10333_9_relaxed.vasp,6df5d0b9074e4f473c039eec14a882de2074f9818db1ea1bba6f3697f2c7ae4e
RuTi,Ru1Ti2,struct_9327_7_relaxed.vasp,Ti2Ru,48,Pnnm,58,Ti,0.6666666666666666,-0.517054121458339,0.0,-0.485364661175943,0.0,False,0,RuTi/Ru1Ti2/xyz2poscar/struct_9327_7_relaxed.vasp,f794c37cbb70b7032036472d9890f510f23b2ed7fc3028203c1d5ed418f3eeee
RuTi,Ru1Ti4,struct_2664_4_relaxed.vasp,Ti4Ru,40,P-1,2,Ti,0.8,-0.31377679400000175,0.0,-0.27673365125231586,0.01448514545324986,False,1,RuTi/Ru1Ti4/xyz2poscar/struct_2664_4_relaxed.vasp,9f52f2ea491bc01e070b1a64c00de2389cde460560a6b02d79dd6e8775e615d1
RuTi,Ru1Ti5,struct_674_4_relaxed.vasp,Ti5Ru,12,C2/c,15,Ti,0.8333333333333334,-0.2626818891666692,0.0,-0.22199169186548318,0.020690638722488275,False,0,RuTi/Ru1Ti5/xyz2poscar/struct_674_4_relaxed.vasp,fcdb84f62ca4eda2587261d19b27902db6e062053058d01536cb00f06fffa3e2
RuTi,Ru2Ti3,struct_13563_0_relaxed.vasp,Ti3Ru2,80,I4/mmm,139,Ti,0.6,-0.6142062447500123,0.0,-0.5792099334620616,0.0,False,0,RuTi/Ru2Ti3/xyz2poscar/struct_13563_0_relaxed.vasp,6bc0cb1a74c3662183946384fcef4b7e09e6f6e2e6f20c471c859000c71a2eee
RuTi,Ru3Ti4,struct_3469_8_relaxed.vasp,Ti4Ru3,56,P4/mmm,123,Ti,0.5714285714285714,-0.6548900260714399,0.0,-0.6178225282979487,5.492273530194325e-05,False,0,RuTi/Ru3Ti4/xyz2poscar/struct_3469_8_relaxed.vasp,55d5ae41ed40acc444e3bad934f52c2bfbb37f59ccd3133b1925620fedde736c
TiZn,Ti1Zn4,struct_20443_3_relaxed.vasp,TiZn4,60,P4/mmm,123,Zn,0.8,-0.16651885300000327,0.0,-0.15026600346348004,0.02758231310487716,False,0,TiZn/Ti1Zn4/xyz2poscar/struct_20443_3_relaxed.vasp,d85cad9a5030291c2cc328f8d72391e435ee0d27f44007641853a7900fb4a373
TiZn,Ti1Zn5,struct_2526_3_relaxed.vasp,TiZn5,48,P4/mmm,123,Zn,0.8333333333333334,-0.13897923604166973,0.0009181952083331668,-0.13175850999457447,0.016448420479056536,False,0,TiZn/Ti1Zn5/xyz2poscar/struct_2526_3_relaxed.vasp,b4c95a7cb06c5269590b91b6c815ec64e86ae91e497de38a44115007db7e5b0d
TiZn,Ti1Zn5,struct_2882_8_relaxed.vasp,TiZn5,48,I4/mmm,139,Zn,0.8333333333333334,-0.1398974312500029,0.0,-0.1311161048154803,0.017090825658150705,False,0,TiZn/Ti1Zn5/xyz2poscar/struct_2882_8_relaxed.vasp,fe3143dc7c33805a7314d198deea122a75195ca212a233f36037e6ec1c98723c
TiZn,Ti4Zn3,struct_12635_1_relaxed.vasp,Ti4Zn3,56,I4/mmm,139,Zn,0.42857142857142855,-0.18488383696427593,0.0,-0.18600749786374596,0.004714811194992702,False,0,TiZn/Ti4Zn3/xyz2poscar/struct_12635_1_relaxed.vasp,fed35db03ba202ca25ef1cd6fe987ad5c024073cc06bcd7e58540fe2fc4f69eb
