r_ij,median_interpolated,median_smoothed,E_ij,source,is_original_0p02A_grid
4.65,-0.03737407,-0.03736850,-0.03736850,maincluster_observed_0p02A_bin,True
4.66,-0.03684118,-0.03686217,-0.03686217,maincluster_pchip_resampled,False
4.67,-0.03632516,-0.03635531,-0.03635531,maincluster_observed_0p02A_bin,True
4.68,-0.03596510,-0.03586686,-0.03586686,maincluster_pchip_resampled,False
4.69,-0.03560306,-0.03538699,-0.03538699,maincluster_observed_0p02A_bin,True
4.70,-0.03510106,-0.03491653,-0.03491653,maincluster_pchip_resampled,False
4.71,-0.03453005,-0.03444311,-0.03444311,maincluster_observed_0p02A_bin,True
4.72,-0.03391260,-0.03395136,-0.03395136,maincluster_pchip_resampled,False
4.73,-0.03331572,-0.03345013,-0.03345013,maincluster_observed_0p02A_bin,True
4.74,-0.03284667,-0.03294237,-0.03294237,maincluster_pchip_resampled,False
4.75,-0.03237983,-0.03243130,-0.03243130,maincluster_observed_0p02A_bin,True
4.76,-0.03177341,-0.03192452,-0.03192452,maincluster_pchip_resampled,False
4.77,-0.03118851,-0.03141217,-0.03141217,maincluster_observed_0p02A_bin,True
4.78,-0.03076863,-0.03088228,-0.03088228,maincluster_pchip_resampled,False
4.79,-0.03038158,-0.03034791,-0.03034791,maincluster_observed_0p02A_bin,True
4.80,-0.02997405,-0.02982249,-0.02982249,maincluster_pchip_resampled,False
4.81,-0.02952542,-0.02929391,-0.02929391,maincluster_observed_0p02A_bin,True
4.82,-0.02895975,-0.02875011,-0.02875011,maincluster_pchip_resampled,False
4.83,-0.02833718,-0.02820378,-0.02820378,maincluster_observed_0p02A_bin,True
4.84,-0.02770668,-0.02766765,-0.02766765,maincluster_pchip_resampled,False
4.85,-0.02707761,-0.02712991,-0.02712991,maincluster_observed_0p02A_bin,True
4.86,-0.02647277,-0.02658168,-0.02658168,maincluster_pchip_resampled,False
4.87,-0.02590009,-0.02602667,-0.02602667,maincluster_observed_0p02A_bin,True
4.88,-0.02539321,-0.02546500,-0.02546500,maincluster_pchip_resampled,False
4.89,-0.02488806,-0.02489866,-0.02489866,maincluster_observed_0p02A_bin,True
4.90,-0.02430837,-0.02433136,-0.02433136,maincluster_pchip_resampled,False
4.91,-0.02372650,-0.02375829,-0.02375829,maincluster_observed_0p02A_bin,True
4.92,-0.02322074,-0.02317362,-0.02317362,maincluster_pchip_resampled,False
4.93,-0.02269910,-0.02258366,-0.02258366,maincluster_observed_0p02A_bin,True
4.94,-0.02204729,-0.02199099,-0.02199099,maincluster_pchip_resampled,False
4.95,-0.02138330,-0.02140139,-0.02140139,maincluster_observed_0p02A_bin,True
4.96,-0.02082471,-0.02082373,-0.02082373,maincluster_pchip_resampled,False
4.97,-0.02027606,-0.02025087,-0.02025087,maincluster_observed_0p02A_bin,True
4.98,-0.01965738,-0.01967865,-0.01967865,maincluster_pchip_resampled,False
4.99,-0.01905189,-0.01910742,-0.01910742,maincluster_observed_0p02A_bin,True
5.00,-0.01854562,-0.01853625,-0.01853625,maincluster_pchip_resampled,False
5.01,-0.01803659,-0.01796490,-0.01796490,maincluster_observed_0p02A_bin,True
5.02,-0.01741942,-0.01739116,-0.01739116,maincluster_pchip_resampled,False
5.03,-0.01678528,-0.01682000,-0.01682000,maincluster_observed_0p02A_bin,True
5.04,-0.01621416,-0.01625692,-0.01625692,maincluster_pchip_resampled,False
5.05,-0.01565284,-0.01569784,-0.01569784,maincluster_observed_0p02A_bin,True
5.06,-0.01505382,-0.01513862,-0.01513862,maincluster_pchip_resampled,False
5.07,-0.01448538,-0.01458507,-0.01458507,maincluster_observed_0p02A_bin,True
5.08,-0.01402203,-0.01404378,-0.01404378,maincluster_pchip_resampled,False
5.09,-0.01356814,-0.01350772,-0.01350772,maincluster_observed_0p02A_bin,True
5.10,-0.01303999,-0.01297053,-0.01297053,maincluster_pchip_resampled,False
5.11,-0.01249394,-0.01243731,-0.01243731,maincluster_observed_0p02A_bin,True
5.12,-0.01197048,-0.01191157,-0.01191157,maincluster_pchip_resampled,False
5.13,-0.01144555,-0.01139151,-0.01139151,maincluster_observed_0p02A_bin,True
5.14,-0.01089855,-0.01087516,-0.01087516,maincluster_pchip_resampled,False
5.15,-0.01035919,-0.01036665,-0.01036665,maincluster_observed_0p02A_bin,True
5.16,-0.00985781,-0.00987098,-0.00987098,maincluster_pchip_resampled,False
5.17,-0.00936819,-0.00938294,-0.00938294,maincluster_observed_0p02A_bin,True
5.18,-0.00886823,-0.00889811,-0.00889811,maincluster_pchip_resampled,False
5.19,-0.00838035,-0.00841965,-0.00841965,maincluster_observed_0p02A_bin,True
5.20,-0.00792603,-0.00794974,-0.00794974,maincluster_pchip_resampled,False
5.21,-0.00748187,-0.00748658,-0.00748658,maincluster_observed_0p02A_bin,True
5.22,-0.00702779,-0.00702695,-0.00702695,maincluster_pchip_resampled,False
5.23,-0.00657952,-0.00657751,-0.00657751,maincluster_observed_0p02A_bin,True
5.24,-0.00614460,-0.00614461,-0.00614461,maincluster_pchip_resampled,False
5.25,-0.00572615,-0.00572456,-0.00572456,maincluster_observed_0p02A_bin,True
5.26,-0.00533610,-0.00531537,-0.00531537,maincluster_pchip_resampled,False
5.27,-0.00495300,-0.00491872,-0.00491872,maincluster_observed_0p02A_bin,True
5.28,-0.00455119,-0.00453588,-0.00453588,maincluster_pchip_resampled,False
5.29,-0.00415896,-0.00416563,-0.00416563,maincluster_observed_0p02A_bin,True
5.30,-0.00379945,-0.00380657,-0.00380657,maincluster_pchip_resampled,False
5.31,-0.00345706,-0.00346063,-0.00346063,maincluster_observed_0p02A_bin,True
5.32,-0.00312390,-0.00312916,-0.00312916,maincluster_pchip_resampled,False
5.33,-0.00280388,-0.00281168,-0.00281168,maincluster_observed_0p02A_bin,True
5.34,-0.00249643,-0.00250615,-0.00250615,maincluster_pchip_resampled,False
5.35,-0.00220633,-0.00221834,-0.00221834,maincluster_observed_0p02A_bin,True
5.36,-0.00193914,-0.00195399,-0.00195399,maincluster_pchip_resampled,False
5.37,-0.00168863,-0.00170749,-0.00170749,maincluster_observed_0p02A_bin,True
5.38,-0.00144936,-0.00147544,-0.00147544,maincluster_pchip_resampled,False
5.39,-0.00122708,-0.00125906,-0.00125906,maincluster_observed_0p02A_bin,True
5.40,-0.00102590,-0.00105820,-0.00105820,maincluster_pchip_resampled,False
5.41,-0.00084166,-0.00087305,-0.00087305,maincluster_observed_0p02A_bin,True
5.42,-0.00067088,-0.00070337,-0.00070337,maincluster_pchip_resampled,False
5.43,-0.00051729,-0.00054945,-0.00054945,maincluster_observed_0p02A_bin,True
5.44,-0.00038138,-0.00041094,-0.00041094,maincluster_pchip_resampled,False
5.45,-0.00026559,-0.00028827,-0.00028827,maincluster_observed_0p02A_bin,True
